policy_id,customer_id,policy_type,premium_amount,start_date,end_date,status,channel
P00043,C0212,Life,7550000,2023-11-25,2024-11-24,Active,Broker
P00044,C0991,Travel,550000,2024-03-10,2025-03-10,Active,Broker
P00045,C0821,Life,7550000,2023-09-08,2024-09-07,Active,Bancassurance
P00046,C0730,Motor,3650000,2022-11-09,2023-11-09,Active,Broker
P00047,C0259,Property,13350000,2023-04-16,2024-04-15,Active,Broker
P00048,C0639,Motor,3850000,2024-04-24,2025-04-24,Lapsed,Direct
P00049,C0990,Health,2050000,2023-11-10,2024-11-09,Active,Direct
P00050,C0701,Travel,1400000,2022-11-02,2023-11-02,Active,Broker
P00051,C0656,Health,4000000,2022-10-11,2023-10-11,Active,Digital
P00052,C0306,Motor,3800000,2023-10-30,2024-10-29,Active,Bancassurance
P00053,C0825,Travel,1650000,2022-02-28,2023-02-28,Expired,Broker
P00054,C0027,Motor,3900000,2024-01-09,2025-01-08,Lapsed,Digital
P00055,C0398,Motor,4650000,2023-02-19,2024-02-19,Active,Direct
P00056,C0744,Travel,1700000,2022-12-18,2023-12-18,Active,Direct
P00057,C0368,Property,13950000,2023-11-19,2024-11-18,Expired,Digital
P00058,C0572,Life,8900000,2024-06-16,2025-06-16,Active,Digital
P00059,C0265,Health,4800000,2024-01-29,2025-01-28,Expired,Bancassurance
P00060,C0364,Motor,3800000,2022-08-16,2023-08-16,Active,Digital
P00061,C0381,Property,12650000,2022-12-06,2023-12-06,Active,Direct
P00062,C0482,Motor,3100000,2022-05-01,2023-05-01,Active,Direct
P00063,C0484,Travel,1900000,2022-03-14,2023-03-14,Active,Direct
P00064,C0543,Health,7200000,2023-01-26,2024-01-26,Active,Broker
P00065,C0141,Health,7250000,2022-06-04,2023-06-04,Active,Digital
P00066,C0147,Property,14850000,2023-04-14,2024-04-13,Active,Bancassurance
P00067,C0182,Health,4950000,2023-10-09,2024-10-08,Active,Agency
P00068,C0780,Health,4700000,2022-08-03,2023-08-03,Active,Direct
P00069,C0799,Life,6450000,2024-02-21,2025-02-20,Active,Bancassurance
P00070,C0414,Travel,1150000,2023-03-16,2024-03-15,Lapsed,Broker
P00071,C0205,Property,4050000,2023-07-01,2024-06-30,Active,Agency
P00072,C0196,Motor,4150000,2023-06-28,2024-06-27,Active,Agency
P00073,C0353,Life,4600000,2024-06-17,2025-06-17,Active,Bancassurance
P00074,C0314,Health,4300000,2023-08-26,2024-08-25,Active,Agency
P00075,C0467,Health,3800000,2022-10-25,2023-10-25,Expired,Direct
P00076,C0704,Travel,1000000,2024-06-28,2025-06-28,Active,Digital
P00077,C0169,Property,7950000,2022-07-12,2023-07-12,Lapsed,Agency
P00078,C0217,Life,4550000,2022-05-15,2023-05-15,Active,Direct
P00079,C0729,Travel,750000,2023-01-11,2024-01-11,Active,Broker
P00080,C0050,Motor,4200000,2023-10-01,2024-09-30,Expired,Agency
P00081,C0050,Health,5900000,2022-01-21,2023-01-21,Active,Broker
P00082,C0259,Property,8200000,2023-07-15,2024-07-14,Lapsed,Bancassurance
P00083,C0010,Life,7850000,2023-10-08,2024-10-07,Active,Broker
P00084,C0638,Health,5950000,2022-10-04,2023-10-04,Expired,Bancassurance
P00085,C0524,Property,13150000,2022-04-18,2023-04-18,Expired,Agency
P00086,C0510,Motor,1900000,2022-04-19,2023-04-19,Active,Direct
P00087,C0536,Life,8450000,2024-05-01,2025-05-01,Active,Digital
P00088,C0562,Property,7250000,2022-02-10,2023-02-10,Lapsed,Bancassurance
P00089,C0014,Property,7650000,2022-01-03,2023-01-03,Active,Agency
P00090,C0973,Travel,1500000,2022-06-02,2023-06-02,Active,Direct
P00091,C0927,Health,6350000,2022-04-14,2023-04-14,Active,Bancassurance
P00092,C0271,Property,14900000,2022-10-31,2023-10-31,Lapsed,Agency
P00093,C0041,Health,6900000,2024-06-14,2025-06-14,Active,Digital
P00094,C0098,Motor,3000000,2022-04-29,2023-04-29,Active,Agency
P00095,C0337,Life,7650000,2022-06-24,2023-06-24,Active,Broker
P00096,C0096,Travel,900000,2024-01-21,2025-01-20,Active,Digital
P00097,C0986,Life,3800000,2023-02-14,2024-02-14,Lapsed,Digital
P00098,C0820,Property,11600000,2023-05-05,2024-05-04,Lapsed,Bancassurance
P00099,C0061,Health,2800000,2024-01-14,2025-01-13,Active,Agency
P00100,C0822,Property,14000000,2023-05-10,2024-05-09,Expired,Broker
P00101,C0368,Life,7300000,2024-03-08,2025-03-08,Expired,Agency
P00102,C0116,Life,6400000,2023-05-15,2024-05-14,Lapsed,Broker
P00103,C0322,Health,2400000,2023-11-02,2024-11-01,Active,Direct
P00104,C0979,Travel,1600000,2022-08-18,2023-08-18,Active,Direct
P00105,C0098,Travel,1550000,2023-09-26,2024-09-25,Lapsed,Bancassurance
P00106,C0657,Property,7800000,2023-11-24,2024-11-23,Lapsed,Bancassurance
P00107,C0056,Travel,1850000,2023-09-20,2024-09-19,Active,Bancassurance
P00108,C0508,Travel,1750000,2024-05-22,2025-05-22,Active,Agency
P00109,C0994,Property,7550000,2022-12-05,2023-12-05,Active,Agency
P00110,C0388,Travel,850000,2023-10-21,2024-10-20,Lapsed,Bancassurance
P00111,C0587,Health,4750000,2024-03-31,2025-03-31,Lapsed,Agency
P00112,C0510,Property,8900000,2022-05-02,2023-05-02,Active,Agency
P00113,C0563,Property,8550000,2023-07-25,2024-07-24,Active,Agency
P00114,C0312,Travel,1950000,2023-10-15,2024-10-14,Expired,Direct
P00115,C0974,Life,7600000,2023-04-13,2024-04-12,Active,Digital
P00116,C0466,Health,6900000,2024-05-14,2025-05-14,Active,Direct
P00117,C0673,Travel,1400000,2024-01-04,2025-01-03,Active,Broker
P00118,C0228,Health,2600000,2023-11-06,2024-11-05,Active,Digital
P00119,C0299,Motor,4400000,2024-03-30,2025-03-30,Expired,Direct
P00120,C0919,Motor,3950000,2022-02-16,2023-02-16,Active,Broker
P00121,C0739,Life,8750000,2024-01-31,2025-01-30,Lapsed,Agency
P00122,C0124,Motor,3650000,2022-07-12,2023-07-12,Lapsed,Bancassurance
P00123,C0734,Property,13050000,2022-07-15,2023-07-15,Active,Agency
P00124,C0858,Property,4500000,2023-10-11,2024-10-10,Expired,Agency
P00125,C0980,Property,9050000,2023-08-27,2024-08-26,Expired,Bancassurance
P00126,C0050,Property,4050000,2024-01-24,2025-01-23,Expired,Broker
P00127,C0800,Travel,1200000,2023-06-05,2024-06-04,Active,Direct
P00128,C0107,Life,8100000,2022-05-12,2023-05-12,Lapsed,Direct
P00129,C0903,Travel,1800000,2023-06-01,2024-05-31,Lapsed,Broker
P00130,C0255,Travel,1850000,2024-02-20,2025-02-19,Active,Broker
P00131,C0825,Motor,4900000,2023-04-09,2024-04-08,Active,Bancassurance
P00132,C0767,Property,10650000,2024-06-26,2025-06-26,Expired,Digital
P00133,C0755,Travel,1800000,2023-12-30,2024-12-29,Expired,Bancassurance
P00134,C0298,Life,4450000,2024-01-02,2025-01-01,Active,Bancassurance
P00135,C0653,Life,6550000,2023-12-12,2024-12-11,Active,Agency
P00136,C0585,Motor,3450000,2023-08-20,2024-08-19,Lapsed,Direct
P00137,C0828,Motor,4550000,2023-03-09,2024-03-08,Active,Direct
P00138,C0055,Health,2150000,2022-05-29,2023-05-29,Active,Bancassurance
P00139,C0294,Motor,4150000,2022-06-14,2023-06-14,Active,Bancassurance
P00140,C0209,Health,6150000,2022-10-30,2023-10-30,Expired,Agency
P00141,C0631,Motor,4350000,2022-04-15,2023-04-15,Expired,Bancassurance
P00142,C0804,Travel,1100000,2023-06-08,2024-06-07,Active,Agency
P00143,C1000,Property,8250000,2024-03-18,2025-03-18,Active,Direct
P00144,C0208,Health,2100000,2022-09-15,2023-09-15,Expired,Broker
P00145,C0727,Life,9400000,2023-12-23,2024-12-22,Active,Direct
P00146,C0795,Travel,1600000,2022-07-21,2023-07-21,Active,Digital
P00147,C0077,Property,5950000,2023-12-01,2024-11-30,Active,Bancassurance
P00148,C0439,Travel,700000,2022-02-11,2023-02-11,Active,Direct
P00149,C0867,Motor,1950000,2023-08-22,2024-08-21,Active,Agency
P00150,C0041,Motor,3150000,2022-06-08,2023-06-08,Active,Digital
P00151,C0631,Travel,600000,2023-10-03,2024-10-02,Active,Broker
P00152,C0803,Travel,1350000,2022-03-16,2023-03-16,Active,Direct
P00153,C0070,Life,9700000,2023-06-18,2024-06-17,Expired,Bancassurance
P00154,C0095,Property,9950000,2023-02-18,2024-02-18,Active,Bancassurance
P00155,C0370,Life,7650000,2022-12-06,2023-12-06,Active,Bancassurance
P00156,C0844,Travel,1300000,2023-07-29,2024-07-28,Active,Agency
P00157,C0629,Motor,3050000,2023-10-20,2024-10-19,Expired,Bancassurance
P00158,C0391,Health,6100000,2022-11-25,2023-11-25,Active,Broker
P00159,C0026,Motor,3400000,2022-10-17,2023-10-17,Expired,Digital
P00160,C0499,Travel,1700000,2023-04-02,2024-04-01,Active,Digital
P00161,C0971,Life,5250000,2022-03-26,2023-03-26,Active,Bancassurance
P00162,C0068,Travel,1300000,2023-10-04,2024-10-03,Active,Bancassurance
P00163,C0551,Property,13200000,2022-07-30,2023-07-30,Lapsed,Agency
P00164,C0340,Life,3150000,2024-01-05,2025-01-04,Active,Agency
P00165,C0258,Health,2350000,2024-03-24,2025-03-24,Expired,Agency
P00166,C0418,Travel,1750000,2022-09-22,2023-09-22,Lapsed,Broker
P00167,C0399,Property,8750000,2022-01-18,2023-01-18,Active,Direct
P00168,C0065,Health,5850000,2023-09-26,2024-09-25,Expired,Agency
P00169,C0109,Health,4150000,2023-05-30,2024-05-29,Active,Digital
P00170,C0949,Travel,650000,2024-02-23,2025-02-22,Lapsed,Broker
P00171,C0486,Property,13050000,2022-02-01,2023-02-01,Active,Direct
P00172,C0816,Life,3950000,2023-02-05,2024-02-05,Expired,Digital
P00173,C0937,Life,5100000,2024-06-27,2025-06-27,Active,Agency
P00174,C0127,Travel,1800000,2022-05-25,2023-05-25,Active,Agency
P00175,C0561,Travel,1400000,2023-07-05,2024-07-04,Active,Digital
P00176,C0353,Life,8250000,2024-01-14,2025-01-13,Active,Broker
P00177,C0227,Travel,700000,2022-07-08,2023-07-08,Expired,Digital
P00178,C0819,Life,3800000,2023-11-19,2024-11-18,Expired,Agency
P00179,C0075,Travel,1200000,2023-07-17,2024-07-16,Active,Agency
P00180,C0595,Motor,1850000,2024-01-14,2025-01-13,Lapsed,Digital
P00181,C0241,Motor,1950000,2023-11-03,2024-11-02,Active,Digital
P00182,C0326,Travel,600000,2022-07-18,2023-07-18,Lapsed,Broker
P00183,C0711,Motor,3650000,2022-11-10,2023-11-10,Expired,Bancassurance
P00184,C0324,Travel,1350000,2024-04-07,2025-04-07,Lapsed,Bancassurance
P00185,C0227,Health,3900000,2024-03-15,2025-03-15,Lapsed,Digital
P00186,C0340,Motor,1950000,2024-01-21,2025-01-20,Lapsed,Broker
P00187,C0499,Property,7950000,2022-11-09,2023-11-09,Expired,Agency
P00188,C0862,Life,7500000,2022-03-25,2023-03-25,Active,Bancassurance
P00189,C0908,Travel,800000,2024-01-22,2025-01-21,Active,Agency
P00190,C0032,Health,7100000,2023-10-09,2024-10-08,Expired,Direct
P00191,C0929,Property,12450000,2022-08-06,2023-08-06,Active,Direct
P00192,C0484,Motor,3400000,2023-07-07,2024-07-06,Active,Digital
P00193,C0604,Property,6450000,2024-03-01,2025-03-01,Active,Bancassurance
P00194,C0407,Property,9500000,2022-04-03,2023-04-03,Active,Direct
P00195,C0988,Health,6000000,2024-05-18,2025-05-18,Expired,Bancassurance
P00196,C0184,Travel,700000,2022-06-13,2023-06-13,Expired,Direct
P00197,C0962,Life,8150000,2023-05-11,2024-05-10,Active,Agency
P00198,C0065,Life,8350000,2022-08-26,2023-08-26,Active,Digital
P00199,C0531,Life,3300000,2022-07-31,2023-07-31,Active,Broker
P00200,C0048,Property,14100000,2024-06-21,2025-06-21,Active,Digital
P00201,C0649,Health,6200000,2023-06-18,2024-06-17,Active,Digital
P00202,C0386,Travel,1300000,2022-06-28,2023-06-28,Lapsed,Digital
P00203,C0080,Travel,1500000,2024-05-05,2025-05-05,Expired,Digital
P00204,C0529,Property,14700000,2022-08-17,2023-08-17,Lapsed,Digital
P00205,C0909,Motor,3200000,2023-05-09,2024-05-08,Expired,Agency
P00206,C0170,Travel,1800000,2023-03-27,2024-03-26,Active,Agency
P00207,C0154,Travel,1450000,2022-08-05,2023-08-05,Active,Bancassurance
P00208,C0122,Motor,3600000,2024-04-16,2025-04-16,Active,Broker
P00209,C0692,Motor,4000000,2023-05-09,2024-05-08,Lapsed,Broker
P00210,C0854,Life,7150000,2023-10-25,2024-10-24,Lapsed,Agency
P00211,C0607,Life,3300000,2023-08-11,2024-08-10,Active,Bancassurance
P00212,C0151,Travel,550000,2023-08-10,2024-08-09,Active,Bancassurance
P00213,C0982,Motor,4750000,2023-06-14,2024-06-13,Lapsed,Direct
P00214,C0737,Travel,1450000,2024-06-18,2025-06-18,Active,Agency
P00215,C0889,Life,6150000,2023-04-28,2024-04-27,Lapsed,Bancassurance
P00216,C0147,Life,8800000,2023-09-08,2024-09-07,Expired,Bancassurance
P00217,C0172,Travel,1500000,2022-09-28,2023-09-28,Active,Broker
P00218,C0388,Travel,1400000,2022-08-24,2023-08-24,Lapsed,Bancassurance
P00219,C0881,Health,2100000,2023-06-20,2024-06-19,Expired,Broker
P00220,C0488,Life,7250000,2022-07-01,2023-07-01,Expired,Direct
P00221,C0516,Health,7250000,2023-06-29,2024-06-28,Active,Agency
P00222,C0553,Property,11250000,2023-09-10,2024-09-09,Active,Broker
P00223,C0045,Travel,1150000,2024-06-14,2025-06-14,Expired,Broker
P00224,C0809,Life,9550000,2023-05-09,2024-05-08,Lapsed,Digital
P00225,C0858,Travel,1700000,2024-02-19,2025-02-18,Expired,Agency
P00226,C0785,Property,5450000,2023-05-04,2024-05-03,Active,Agency
P00227,C0419,Motor,3600000,2023-07-11,2024-07-10,Active,Bancassurance
P00228,C0008,Health,6250000,2024-03-19,2025-03-19,Expired,Direct
P00229,C0671,Health,5100000,2023-01-20,2024-01-20,Active,Digital
P00230,C0437,Property,8000000,2022-06-08,2023-06-08,Expired,Digital
P00231,C0579,Motor,4500000,2023-03-10,2024-03-09,Active,Direct
P00232,C0774,Motor,4950000,2023-02-11,2024-02-11,Active,Broker
P00233,C0184,Travel,1700000,2023-05-10,2024-05-09,Active,Direct
P00234,C0592,Travel,1250000,2022-11-11,2023-11-11,Active,Broker
P00235,C0122,Life,9000000,2023-11-07,2024-11-06,Active,Broker
P00236,C0411,Life,3700000,2023-06-05,2024-06-04,Active,Direct
P00237,C0054,Travel,1550000,2023-12-25,2024-12-24,Active,Broker
P00238,C0149,Health,6850000,2024-04-23,2025-04-23,Lapsed,Direct
P00239,C0228,Property,4950000,2022-09-27,2023-09-27,Active,Agency
P00240,C0954,Travel,550000,2023-01-29,2024-01-29,Lapsed,Direct
P00241,C0059,Travel,950000,2023-09-04,2024-09-03,Active,Broker
P00242,C0673,Property,4100000,2024-05-20,2025-05-20,Expired,Digital
P00243,C0523,Life,3250000,2023-09-06,2024-09-05,Expired,Bancassurance
P00244,C0369,Travel,750000,2022-02-06,2023-02-06,Active,Agency
P00245,C0799,Life,3600000,2022-10-10,2023-10-10,Lapsed,Digital
P00246,C0531,Property,8450000,2022-07-25,2023-07-25,Active,Agency
P00247,C0850,Health,5300000,2024-01-14,2025-01-13,Expired,Direct
P00248,C0284,Motor,2700000,2024-04-15,2025-04-15,Active,Direct
P00249,C0589,Life,6200000,2023-02-18,2024-02-18,Active,Digital
P00250,C0573,Life,5850000,2022-04-20,2023-04-20,Active,Direct
P00251,C0823,Motor,2700000,2022-04-30,2023-04-30,Expired,Digital
P00252,C0257,Travel,1700000,2023-08-12,2024-08-11,Lapsed,Broker
P00253,C0776,Travel,1250000,2022-09-07,2023-09-07,Active,Broker
P00254,C0029,Property,13850000,2024-06-01,2025-06-01,Lapsed,Agency
P00255,C0808,Motor,1750000,2023-10-11,2024-10-10,Active,Bancassurance
P00256,C0529,Motor,2950000,2022-12-28,2023-12-28,Expired,Agency
P00257,C0409,Motor,2350000,2022-04-06,2023-04-06,Active,Agency
P00258,C0322,Travel,1900000,2023-05-03,2024-05-02,Active,Bancassurance
P00259,C0700,Travel,900000,2024-02-04,2025-02-03,Active,Broker
P00260,C0894,Life,4650000,2022-09-05,2023-09-05,Active,Bancassurance
P00261,C0857,Life,4400000,2022-09-13,2023-09-13,Expired,Digital
P00262,C0943,Life,8450000,2022-05-03,2023-05-03,Active,Broker
P00263,C0555,Travel,500000,2024-05-27,2025-05-27,Active,Broker
P00264,C0920,Motor,3650000,2023-05-20,2024-05-19,Expired,Digital
P00265,C0938,Property,6000000,2024-02-22,2025-02-21,Expired,Digital
P00266,C0132,Property,6450000,2023-08-14,2024-08-13,Active,Direct
P00267,C0034,Property,9250000,2023-07-08,2024-07-07,Expired,Digital
P00268,C0179,Property,13450000,2024-03-05,2025-03-05,Lapsed,Agency
P00269,C0009,Travel,1200000,2023-12-07,2024-12-06,Active,Bancassurance
P00270,C0371,Property,10400000,2022-11-30,2023-11-30,Expired,Digital
P00271,C0276,Life,6850000,2022-08-31,2023-08-31,Lapsed,Direct
P00272,C0435,Motor,2800000,2023-05-26,2024-05-25,Active,Broker
P00273,C0287,Motor,2800000,2023-02-15,2024-02-15,Lapsed,Bancassurance
P00274,C0703,Travel,700000,2023-08-13,2024-08-12,Active,Agency
P00275,C0443,Motor,4300000,2023-07-23,2024-07-22,Lapsed,Bancassurance
P00276,C0154,Life,8600000,2024-01-27,2025-01-26,Lapsed,Agency
P00277,C0915,Life,5950000,2022-05-18,2023-05-18,Expired,Direct
P00278,C0257,Motor,4250000,2022-11-04,2023-11-04,Expired,Direct
P00279,C0168,Health,4400000,2023-12-09,2024-12-08,Active,Bancassurance
P00280,C0099,Motor,3150000,2023-10-07,2024-10-06,Lapsed,Digital
P00281,C0571,Motor,2750000,2023-07-28,2024-07-27,Active,Digital
P00282,C0889,Health,4450000,2022-12-26,2023-12-26,Expired,Bancassurance
P00283,C0552,Travel,1350000,2023-10-27,2024-10-26,Active,Digital
P00284,C0500,Motor,2650000,2023-06-07,2024-06-06,Lapsed,Agency
P00285,C0647,Property,10750000,2023-04-20,2024-04-19,Active,Bancassurance
P00286,C0586,Motor,3000000,2023-09-20,2024-09-19,Lapsed,Agency
P00287,C0322,Health,2950000,2022-08-22,2023-08-22,Active,Digital
P00288,C0278,Motor,3600000,2023-02-09,2024-02-09,Lapsed,Digital
P00289,C0424,Travel,1300000,2023-04-07,2024-04-06,Active,Bancassurance
P00290,C0678,Health,2750000,2022-08-29,2023-08-29,Active,Agency
P00291,C0098,Life,4150000,2022-04-16,2023-04-16,Active,Broker
P00292,C0407,Travel,600000,2024-02-29,2025-02-28,Expired,Agency
P00293,C0087,Health,3550000,2022-06-09,2023-06-09,Lapsed,Digital
P00294,C0454,Life,4750000,2022-10-18,2023-10-18,Active,Bancassurance
P00295,C0036,Travel,1750000,2022-01-30,2023-01-30,Active,Digital
P00296,C0554,Property,9150000,2024-06-10,2025-06-10,Active,Direct
P00297,C0553,Property,5500000,2023-12-16,2024-12-15,Active,Direct
P00298,C0652,Travel,1200000,2024-02-06,2025-02-05,Expired,Broker
P00299,C0318,Travel,1450000,2023-07-01,2024-06-30,Active,Broker
P00300,C0453,Travel,850000,2022-04-02,2023-04-02,Active,Digital
P00301,C0011,Property,6850000,2022-11-07,2023-11-07,Active,Direct
P00302,C0548,Life,5400000,2023-04-26,2024-04-25,Active,Broker
P00303,C0441,Property,7300000,2024-02-24,2025-02-23,Active,Direct
P00304,C0383,Life,8600000,2023-07-16,2024-07-15,Active,Broker
P00305,C0168,Travel,1150000,2022-09-13,2023-09-13,Lapsed,Broker
P00306,C0641,Life,4850000,2023-03-09,2024-03-08,Active,Direct
P00307,C0279,Travel,1700000,2023-12-03,2024-12-02,Active,Direct
P00308,C0071,Motor,2950000,2024-05-23,2025-05-23,Active,Bancassurance
P00309,C0633,Motor,1900000,2023-04-12,2024-04-11,Lapsed,Digital
P00310,C0020,Travel,1250000,2022-11-25,2023-11-25,Active,Agency
P00311,C0289,Travel,550000,2022-04-15,2023-04-15,Active,Bancassurance
P00312,C0093,Property,12000000,2022-08-27,2023-08-27,Active,Agency
P00313,C0320,Property,6400000,2023-03-07,2024-03-06,Lapsed,Digital
P00314,C0339,Property,11650000,2022-02-02,2023-02-02,Active,Bancassurance
P00315,C0074,Health,3600000,2023-02-06,2024-02-06,Expired,Broker
P00316,C0257,Life,4350000,2024-05-11,2025-05-11,Lapsed,Agency
P00317,C0255,Health,7850000,2024-01-02,2025-01-01,Lapsed,Broker
P00318,C0204,Life,8150000,2022-02-04,2023-02-04,Lapsed,Agency
P00319,C0485,Travel,1500000,2022-08-02,2023-08-02,Lapsed,Digital
P00320,C0044,Motor,2050000,2024-01-16,2025-01-15,Expired,Direct
P00321,C0306,Health,3500000,2023-10-16,2024-10-15,Active,Digital
P00322,C0997,Health,7200000,2022-08-12,2023-08-12,Active,Bancassurance
P00323,C0814,Property,7550000,2022-06-21,2023-06-21,Active,Direct
P00324,C0010,Health,4350000,2022-09-06,2023-09-06,Active,Direct
P00325,C0381,Property,11550000,2022-06-08,2023-06-08,Active,Bancassurance
P00326,C0634,Life,6500000,2023-12-04,2024-12-03,Active,Agency
P00327,C0719,Health,4150000,2022-06-07,2023-06-07,Expired,Agency
P00328,C0572,Life,6400000,2022-11-21,2023-11-21,Active,Broker
P00329,C0367,Life,3150000,2023-01-22,2024-01-22,Active,Digital
P00330,C0573,Health,4900000,2023-03-25,2024-03-24,Active,Direct
P00331,C0557,Property,6100000,2022-07-11,2023-07-11,Active,Digital
P00332,C0614,Property,7050000,2024-05-01,2025-05-01,Expired,Bancassurance
P00333,C0303,Health,5200000,2023-04-06,2024-04-05,Active,Direct
P00334,C0654,Motor,3100000,2024-03-05,2025-03-05,Expired,Broker
P00335,C0878,Life,9200000,2023-09-27,2024-09-26,Active,Direct
P00336,C0675,Life,5250000,2022-03-06,2023-03-06,Expired,Broker
P00337,C0785,Life,6650000,2023-05-25,2024-05-24,Expired,Bancassurance
P00338,C0657,Travel,900000,2023-02-24,2024-02-24,Active,Agency
P00339,C0045,Health,5150000,2022-03-10,2023-03-10,Active,Bancassurance
P00340,C0197,Health,3200000,2023-05-13,2024-05-12,Active,Agency
P00341,C0674,Travel,1450000,2023-02-02,2024-02-02,Lapsed,Direct
P00342,C0051,Travel,1550000,2022-09-20,2023-09-20,Active,Bancassurance
P00343,C0953,Travel,1600000,2022-01-14,2023-01-14,Active,Broker
P00344,C0063,Health,4800000,2023-10-17,2024-10-16,Active,Direct
P00345,C0726,Property,13050000,2024-03-24,2025-03-24,Active,Direct
P00346,C0073,Motor,3350000,2024-01-22,2025-01-21,Active,Agency
P00347,C0104,Life,9700000,2022-04-10,2023-04-10,Active,Direct
P00348,C0673,Property,6100000,2023-06-23,2024-06-22,Active,Direct
P00349,C0426,Life,6900000,2023-07-26,2024-07-25,Active,Direct
P00350,C0682,Motor,3850000,2023-12-21,2024-12-20,Lapsed,Agency
P00351,C0412,Life,8550000,2023-07-18,2024-07-17,Expired,Digital
P00352,C0454,Life,6750000,2023-09-07,2024-09-06,Active,Digital
P00353,C0866,Travel,2000000,2022-11-29,2023-11-29,Active,Broker
P00354,C0624,Property,13100000,2022-11-28,2023-11-28,Active,Direct
P00355,C0564,Travel,800000,2024-02-24,2025-02-23,Active,Digital
P00356,C0001,Property,8900000,2023-02-11,2024-02-11,Active,Digital
P00357,C0912,Travel,500000,2022-05-19,2023-05-19,Active,Agency
P00358,C0877,Motor,4950000,2022-08-08,2023-08-08,Active,Agency
P00359,C0570,Motor,4700000,2023-06-08,2024-06-07,Expired,Direct
P00360,C0365,Life,3650000,2023-04-17,2024-04-16,Active,Bancassurance
P00361,C0256,Motor,2800000,2023-08-20,2024-08-19,Active,Digital
P00362,C0583,Motor,1800000,2023-02-14,2024-02-14,Active,Agency
P00363,C0500,Motor,4300000,2022-06-27,2023-06-27,Expired,Agency
P00364,C0749,Travel,1450000,2022-02-08,2023-02-08,Expired,Broker
P00365,C0343,Health,6700000,2024-02-29,2025-02-28,Active,Broker
P00366,C0891,Property,14250000,2022-05-04,2023-05-04,Active,Direct
P00367,C0392,Health,5800000,2023-10-10,2024-10-09,Active,Digital
P00368,C0579,Travel,550000,2023-07-07,2024-07-06,Active,Digital
P00369,C0052,Travel,1550000,2022-06-06,2023-06-06,Lapsed,Broker
